,open,close,high,low,volume,money
2007-01-04,3.36,3.24,3.52,3.17,301617191.0,1016722868.0
2007-01-05,3.2,3.0,3.2,2.98,234177816.0,715011004.0
2007-01-08,2.99,3.07,3.11,2.99,138422720.0,421819403.0
2007-01-09,3.07,3.17,3.18,3.05,209053457.0,650410192.0
2007-01-10,3.16,3.23,3.27,3.12,194973913.0,619003214.0
2007-01-11,3.25,3.39,3.39,3.23,178668347.0,599350537.0
2007-01-12,3.47,3.56,3.56,3.42,396168170.0,1399725036.0
2007-01-15,3.56,3.74,3.74,3.45,240730629.0,873682681.0
2007-01-16,3.79,3.91,3.93,3.79,228907683.0,893096126.0
2007-01-17,3.9,3.91,4.04,3.76,200087736.0,779058425.0
2007-01-18,3.89,3.71,3.93,3.71,213418170.0,801280767.0
2007-01-19,3.72,3.89,3.9,3.72,208899914.0,802892924.0
2007-01-22,3.93,4.08,4.08,3.93,235511355.0,958069065.0
2007-01-23,4.02,4.15,4.2,3.97,219519509.0,895826282.0
2007-01-24,4.13,4.06,4.24,4.02,192843611.0,794955323.0
2007-01-25,4.08,3.99,4.15,3.99,211094199.0,861761522.0
2007-01-26,4.18,4.19,4.19,4.04,272061988.0,1127756301.0
2007-01-29,4.34,4.4,4.4,4.34,117733876.0,517616076.0
2007-01-30,4.62,4.62,4.62,4.57,129157251.0,595829416.0
2007-01-31,4.81,4.39,4.81,4.39,319001638.0,1459524478.0
2007-02-01,4.26,4.24,4.35,4.17,288884391.0,1222286994.0
2007-02-02,4.17,4.02,4.28,4.02,172632236.0,709006991.0
2007-02-05,3.97,3.83,4.05,3.82,174010978.0,679882766.0
2007-02-06,3.83,4.02,4.02,3.82,123065203.0,484248900.0
2007-02-07,4.22,4.22,4.22,4.22,25785836.0,108866305.0
2007-02-08,4.22,4.38,4.43,4.15,282095892.0,1225465319.0
2007-02-09,4.4,4.22,4.41,4.19,134782459.0,576342130.0
2007-02-12,4.21,4.43,4.43,4.21,109651075.0,482695233.0
2007-02-13,4.59,4.51,4.63,4.45,106315504.0,482550368.0
2007-02-14,4.56,4.72,4.72,4.5,122026234.0,568001003.0
2007-02-15,4.74,4.71,4.86,4.63,139341355.0,663331467.0
2007-02-16,4.75,4.77,4.91,4.72,121920417.0,587215173.0
2007-02-26,4.68,4.64,4.7,4.55,93237383.0,430798236.0
2007-02-27,4.63,4.41,4.77,4.41,99134045.0,449230072.0
2007-02-28,4.19,4.37,4.4,4.19,190938513.0,808293424.0
2007-03-01,4.36,4.15,4.36,4.15,99922187.0,418404551.0
2007-03-02,4.11,4.17,4.22,4.03,90435393.0,374155488.0
2007-03-05,4.14,4.02,4.19,3.96,136781667.0,553921869.0
2007-03-06,4.02,4.22,4.22,4.02,124242327.0,518521178.0
2007-03-07,4.22,4.27,4.34,4.2,122158304.0,520049140.0
2007-03-08,4.29,4.34,4.46,4.27,80853054.0,352256708.0
2007-03-09,4.34,4.35,4.41,4.26,95681221.0,414411884.0
2007-03-12,4.35,4.22,4.36,4.14,69653197.0,295400560.0
2007-03-13,4.22,4.25,4.31,4.21,58926068.0,251016030.0
2007-03-14,4.2,4.13,4.2,4.08,79545669.0,328372462.0
2007-03-15,4.12,4.22,4.22,4.12,62096860.0,259448785.0
2007-03-16,4.22,4.14,4.25,4.12,81243573.0,339576411.0
2007-03-19,4.08,4.35,4.35,4.04,120267580.0,516975865.0
2007-03-20,4.45,4.35,4.45,4.34,109060645.0,478599982.0
2007-03-21,4.39,4.56,4.56,4.38,156293409.0,706176903.0
2007-03-22,4.66,4.58,4.79,4.47,239259036.0,1121148793.0
2007-03-23,4.51,4.45,4.53,4.35,156293405.0,694815306.0
2007-03-26,4.36,4.4,4.44,4.25,122824352.0,535392774.0
2007-03-27,4.36,4.36,4.38,4.3,102705720.0,445686074.0
2007-03-28,4.34,4.38,4.45,4.14,181032100.0,785154853.0
2007-03-29,4.38,4.4,4.59,4.34,256921866.0,1149695721.0
2007-03-30,4.33,4.33,4.36,4.26,94303081.0,406970917.0
2007-04-02,4.36,4.42,4.5,4.35,136673859.0,609052911.0
2007-04-03,4.43,4.44,4.52,4.4,110385664.0,491256969.0
2007-04-04,4.45,4.56,4.63,4.45,175389511.0,798945733.0
2007-04-05,4.56,4.58,4.61,4.49,126716616.0,575979919.0
2007-04-06,4.51,4.49,4.57,4.44,115727534.0,520492064.0
2007-04-09,4.49,4.52,4.58,4.45,97520122.0,440993000.0
2007-04-10,4.52,4.66,4.66,4.5,151453825.0,698547421.0
2007-04-11,4.66,4.89,4.89,4.66,258924077.0,1259700119.0
2007-04-12,4.91,5.13,5.13,4.89,202143735.0,1025244447.0
2007-04-13,5.21,5.39,5.39,5.21,157542909.0,846929491.0
2007-04-16,5.5,5.44,5.61,5.25,160494568.0,869212459.0
2007-04-17,5.4,5.27,5.44,5.17,154886008.0,817622631.0
2007-04-18,5.25,5.28,5.37,5.17,89208494.0,471600991.0
2007-04-19,5.21,5.01,5.29,5.01,153687830.0,780768608.0
2007-04-20,4.91,5.19,5.25,4.91,99919206.0,513912245.0
2007-04-23,5.2,5.44,5.44,5.12,166214222.0,886722788.0
2007-04-24,5.54,5.4,5.58,5.38,148323960.0,812324939.0
2007-04-25,5.38,5.67,5.67,5.29,200119250.0,1116248133.0
2007-04-26,5.92,5.95,5.95,5.78,205173527.0,1215873563.0
2007-05-08,6.01,6.25,6.25,6.01,110584868.0,689417015.0
2007-05-09,6.42,6.29,6.48,5.94,217588372.0,1357693384.0
2007-05-10,6.15,6.15,6.35,6.08,120952591.0,747504722.0
2007-05-11,6.08,6.39,6.45,5.97,113013270.0,712695424.0
2007-05-25,6.71,6.71,6.71,6.7,209054983.0,1402575292.0
2007-05-28,6.99,6.56,6.99,6.56,262936016.0,1769983181.0
2007-05-29,6.65,6.6,6.74,6.43,193595070.0,1270286926.0
2007-05-30,6.27,6.27,6.45,6.27,220131076.0,1387346889.0
2007-05-31,6.2,6.58,6.58,6.03,394428152.0,2545382596.0
2007-06-20,8.33,7.87,8.41,7.74,515924937.0,4182345222.0
2007-06-21,8.19,8.66,8.66,7.89,270011058.0,2285484674.0
2007-06-22,8.99,8.94,9.04,8.53,312893233.0,2761567354.0
2007-06-25,9.09,8.89,9.24,8.67,261470618.0,2324185978.0
2007-06-27,8.0,8.13,8.53,8.0,300141875.0,2446555671.0
2007-06-28,7.95,7.61,8.17,7.58,206431244.0,1617433934.0
2007-06-29,7.52,6.95,7.57,6.87,193962873.0,1410757781.0
2007-07-02,6.77,6.92,7.03,6.71,128240441.0,875614738.0
2007-07-03,6.96,6.87,7.11,6.75,100027157.0,693645138.0
2007-07-04,6.93,6.61,6.96,6.59,96631553.0,652710615.0
