,open,close,high,low,volume,money
2007-03-01,20.78,19.45,21.19,19.04,475761271.0,9500302911.0
2007-03-02,19.54,19.29,19.72,19.07,102254299.0,1981445189.0
2007-03-05,19.11,18.45,19.19,18.09,100846579.0,1880502808.0
2007-03-06,18.29,18.81,19.12,18.19,71624694.0,1337719318.0
2007-03-07,18.83,19.32,19.5,18.67,69155449.0,1317764044.0
2007-03-08,19.16,19.09,19.26,18.99,31510911.0,601904452.0
2007-03-09,19.08,18.93,19.16,18.58,38704937.0,729237345.0
2007-03-12,18.83,18.58,18.83,18.5,34967731.0,651218161.0
2007-03-13,18.63,18.66,18.81,18.55,24615148.0,459295478.0
2007-03-14,18.41,18.68,18.75,18.2,41692532.0,767078398.0
2007-03-15,18.92,18.69,19.32,18.62,36692346.0,693085265.0
2007-03-16,18.7,18.79,19.1,18.46,54741267.0,1025880313.0
2007-03-20,19.45,19.03,19.5,18.91,53413226.0,1022520826.0
2007-03-21,19.04,18.75,19.12,18.66,32892869.0,618375507.0
2007-03-22,18.89,18.86,19.09,18.8,40298010.0,762792451.0
2007-03-23,18.85,18.77,18.93,18.58,33634265.0,631651813.0
2007-03-26,18.79,19.1,19.2,18.78,53711515.0,1024315888.0
2007-03-27,19.03,19.08,19.27,18.97,33520728.0,640740822.0
2007-03-28,19.08,19.36,19.5,18.95,62130754.0,1197347468.0
2007-03-29,19.46,19.7,20.28,19.32,111140477.0,2209005944.0
2007-03-30,19.52,19.56,19.9,19.42,34790704.0,683029951.0
2007-04-02,19.56,20.11,20.24,19.56,55678962.0,1118052954.0
2007-04-03,20.13,20.04,20.27,19.91,31926668.0,640969005.0
2007-04-04,20.04,19.87,20.16,19.77,29459047.0,586499998.0
2007-04-05,19.87,19.92,19.95,19.62,29557847.0,584881789.0
2007-04-06,19.82,19.96,20.35,19.74,46961509.0,944575927.0
2007-04-09,19.99,21.45,21.57,19.83,111329092.0,2312736816.0
2007-04-10,21.2,21.96,22.31,21.2,98110603.0,2154172426.0
2007-04-11,21.98,22.26,22.94,21.86,58566168.0,1313817488.0
2007-04-12,22.44,22.21,24.11,22.01,38315847.0,855188897.0
2007-04-13,22.49,22.87,23.46,22.45,64157748.0,1469293102.0
2007-04-16,23.14,23.45,23.51,23.14,35357266.0,824203125.0
2007-04-17,23.47,22.92,23.7,22.28,47451157.0,1091710060.0
2007-04-18,22.85,22.41,22.9,22.2,31351778.0,706209984.0
2007-04-19,22.24,21.61,22.57,20.87,49458198.0,1080238617.0
2007-04-20,21.89,23.0,23.44,21.77,44671696.0,1010523120.0
2007-04-23,23.02,23.69,23.93,22.81,35348201.0,835307845.0
2007-04-24,24.11,23.2,24.11,23.17,38605119.0,907541031.0
2007-04-25,22.91,23.57,23.98,22.82,35108564.0,823204105.0
2007-04-26,23.52,24.32,24.39,23.52,44496330.0,1073286548.0
2007-04-27,24.34,26.44,26.75,24.23,93783871.0,2404772081.0
2007-04-30,26.27,27.37,28.2,25.93,49122298.0,1323232053.0
2007-05-08,28.18,27.32,28.26,27.02,31833697.0,870776142.0
2007-05-09,26.81,27.32,27.77,26.19,26898893.0,727121809.0
2007-05-10,27.33,26.8,27.43,26.73,20651719.0,557976168.0
2007-05-11,26.4,26.11,26.56,25.42,38634014.0,1003287173.0
2007-05-14,25.69,26.61,27.72,24.94,41316597.0,1104697676.0
2007-05-15,26.77,25.58,26.81,25.54,26831841.0,698693032.0
2007-05-16,25.56,25.91,26.18,25.23,23778398.0,610776702.0
2007-05-17,25.91,26.13,26.51,25.77,20286866.0,528182974.0
2007-05-18,25.98,25.86,26.12,25.36,26889330.0,695617734.0
2007-05-21,25.32,26.38,26.85,25.27,40629728.0,1073946037.0
2007-05-22,26.4,26.6,27.29,26.38,29921427.0,802527503.0
2007-05-23,26.66,26.69,27.02,26.44,18360574.0,492199733.0
2007-05-24,26.6,25.95,27.02,25.52,27473629.0,719624114.0
2007-05-25,25.76,25.74,26.25,25.61,20630046.0,534340450.0
2007-05-28,25.81,26.8,26.85,25.78,38093217.0,1008706502.0
2007-05-29,26.81,27.01,27.23,26.69,23339705.0,629290052.0
2007-05-30,25.48,24.51,26.76,24.32,48912054.0,1247435798.0
2007-05-31,24.94,25.33,25.98,24.34,34260469.0,861871371.0
2007-06-01,24.98,25.17,25.98,24.77,92496323.0,2343594693.0
2007-06-04,25.17,23.7,25.36,23.19,52853011.0,1281793905.0
2007-06-05,23.53,23.69,24.36,22.4,48495202.0,1130197677.0
2007-06-06,23.8,23.98,24.56,23.49,34695756.0,834640152.0
2007-06-08,24.74,24.6,25.0,24.0,40397630.0,988128111.0
2007-06-11,24.53,25.99,26.18,24.53,44118357.0,1135021972.0
2007-06-12,26.1,26.77,27.14,26.05,46648718.0,1246109089.0
2007-06-13,26.81,26.47,27.26,26.18,36414929.0,971187229.0
2007-06-14,26.73,26.78,27.48,26.44,27702282.0,747474620.0
2007-06-15,26.77,27.18,27.38,26.63,22571620.0,611347511.0
2007-06-18,27.75,29.9,29.9,27.65,49389642.0,1426978778.0
2007-06-19,29.93,29.58,30.68,29.31,34687199.0,1040830370.0
2007-06-20,29.51,29.37,30.72,29.34,32369908.0,972066733.0
2007-06-21,29.31,30.72,32.21,29.31,47688041.0,1473952551.0
2007-06-22,30.76,31.18,31.91,30.44,33729966.0,1042675284.0
2007-06-25,31.48,30.96,32.33,30.34,44788849.0,1408262705.0
2007-06-26,30.35,30.51,30.93,29.85,39953518.0,1211248877.0
2007-06-27,30.53,31.76,32.19,30.53,26132887.0,824020168.0
2007-06-28,31.82,30.48,31.89,30.44,21146371.0,657443825.0
2007-06-29,29.81,29.81,30.44,29.69,22530798.0,675697696.0
2007-07-02,29.6,29.05,29.85,28.52,16846379.0,491042222.0
2007-07-03,29.11,29.97,30.25,29.11,11016168.0,328909773.0
2007-07-04,29.85,29.31,30.23,29.18,10799134.0,323343838.0
2007-07-05,29.18,29.24,30.44,28.9,15858666.0,469580503.0
2007-07-06,29.19,30.36,30.37,29.12,15842891.0,472405667.0
2007-07-09,30.64,31.42,31.68,30.39,13627071.0,425030824.0
2007-07-10,31.68,32.24,32.6,31.44,20831827.0,670485894.0
2007-07-11,32.17,32.07,32.17,31.44,8074752.0,257358473.0
2007-07-12,32.13,33.31,33.91,31.72,16169384.0,537985466.0
2007-07-13,33.52,33.15,34.05,32.73,10569512.0,354681949.0
2007-07-16,33.27,34.27,35.3,33.27,23586782.0,813658370.0
2007-07-17,34.27,34.18,34.27,32.74,31737676.0,1055721504.0
2007-07-18,33.77,34.06,35.19,33.57,25810059.0,887783301.0
2007-07-19,33.93,32.94,33.93,32.82,26655912.0,882862136.0
2007-07-20,33.27,35.09,35.67,33.19,30421309.0,1047423370.0
2007-07-23,35.15,34.8,35.32,34.05,61642215.0,2124859243.0
2007-07-24,34.9,34.4,35.02,33.92,56600156.0,1946669247.0
2007-07-25,34.4,34.28,34.4,33.31,51063279.0,1724532296.0
2007-07-26,34.35,33.78,34.44,33.44,36136952.0,1216898629.0
2007-07-27,33.54,33.4,33.94,32.94,31213008.0,1042196374.0
2007-07-30,33.4,33.91,34.13,33.4,34409765.0,1162535816.0
2007-07-31,33.91,34.81,34.92,33.19,41190224.0,1398703578.0
2007-08-01,35.31,33.41,35.31,33.35,39578362.0,1359297243.0
2007-08-02,33.94,34.11,34.69,33.4,27045791.0,920404475.0
2007-08-03,34.23,37.02,37.52,34.23,61626661.0,2188983768.0
2007-08-06,37.11,37.63,38.4,36.27,45852106.0,1710026813.0
2007-08-07,37.61,36.97,37.9,36.77,29820701.0,1112115105.0
2007-08-08,36.67,36.86,37.47,36.27,23520629.0,864527673.0
2007-08-09,37.11,39.59,40.45,36.97,42073755.0,1634846303.0
2007-08-10,38.98,39.77,40.85,38.38,29480379.0,1170079470.0
2007-08-13,39.69,39.39,40.59,38.69,26583570.0,1045588683.0
2007-08-14,39.4,40.85,40.99,39.4,24213397.0,978253648.0
2007-08-15,40.85,40.85,41.48,39.65,21628007.0,879744788.0
2007-08-16,40.44,38.84,40.85,38.15,38238444.0,1494643709.0
2007-08-17,40.02,37.18,40.02,37.0,40671926.0,1537406696.0
2007-08-20,38.48,38.58,39.27,38.02,29583181.0,1141660864.0
2007-08-21,38.57,38.71,39.32,38.35,27775910.0,1079579950.0
2007-08-22,38.36,38.72,39.34,38.07,26053156.0,1009474199.0
2007-08-23,38.87,38.92,39.34,38.23,29147947.0,1127032305.0
2007-08-24,39.19,40.73,41.42,39.19,28400258.0,1154308214.0
2007-08-27,41.15,41.39,42.38,41.15,36071890.0,1510194580.0
2007-08-28,41.37,43.13,44.23,40.73,40093700.0,1701634406.0
2007-08-29,42.03,41.33,42.94,41.28,26259548.0,1102526042.0
2007-08-30,41.71,42.07,42.48,41.36,23241209.0,974763888.0
2007-08-31,42.06,42.57,43.07,41.61,19180894.0,808894234.0
2007-09-03,42.84,43.06,44.14,42.83,20106934.0,878639965.0
2007-09-04,43.02,41.63,43.45,41.59,21172347.0,895212116.0
2007-09-05,41.4,40.99,42.36,40.44,14657912.0,602385764.0
2007-09-06,41.15,41.77,41.99,40.74,24548949.0,1017274095.0
2007-09-07,41.52,40.43,42.19,40.38,27914224.0,1150073159.0
2007-09-10,40.1,40.93,41.19,39.69,19020175.0,770512332.0
2007-09-11,40.56,40.22,42.15,39.9,28086865.0,1159497453.0
2007-09-12,40.52,41.88,41.94,40.52,25601018.0,1063524785.0
2007-09-13,42.56,43.17,43.7,42.24,26146958.0,1129118039.0
2007-09-14,43.36,43.94,44.12,42.86,22309276.0,971562930.0
2007-09-17,43.99,44.89,45.91,43.99,32166825.0,1454022105.0
2007-09-18,44.91,43.79,45.15,43.52,15786496.0,701250339.0
2007-09-19,44.62,47.19,47.66,44.57,44283108.0,2070804533.0
2007-09-20,46.83,49.4,50.96,46.79,28395304.0,1388132734.0
2007-09-21,49.2,49.93,50.54,48.82,15908625.0,794954585.0
2007-09-24,49.52,50.94,51.75,48.88,17967106.0,910152279.0
2007-09-25,51.8,54.08,55.9,51.79,23226922.0,1254845760.0
2007-09-26,54.32,52.62,56.14,52.22,18463300.0,994526304.0
2007-09-27,52.68,54.93,55.06,50.21,13713785.0,732218333.0
2007-09-28,57.02,56.38,57.23,55.56,17040192.0,961151100.0
2007-10-08,57.23,59.07,60.9,56.56,21817920.0,1280236198.0
2007-10-09,58.9,60.14,60.78,58.07,15762097.0,940525822.0
2007-10-10,60.41,58.9,60.73,58.53,19350047.0,1151674343.0
