,open,close,high,low,volume,money,RSI,MFI,TSI,UO,AO,MACDDI,VIP,VIN,TRIX,MI,CCI,DPO,ARU,ARD,BBH,BBL,BBM,CMF,DR,DLR
2007-05-08,7.65,7.85,7.93,7.59,14279391.0,111268571.0,100.0,,,,0.0,,,,,0.0,,5.070395948434626,4.0,4.0,7.85,7.85,7.85,0.5294117647058817,-39.24334802641193,
2007-05-09,7.85,7.72,7.85,7.36,12381279.0,94625907.0,0.0,,-100.0,,0.0,,,,,0.0,-66.66666666666707,5.135395948434626,4.0,8.0,7.915,7.655,7.785,0.5015364708890407,-1.6560509554140124,-1.669916775763225
2007-05-10,7.68,7.95,8.14,7.54,13611581.0,108468321.0,65.58044806517319,,-96.14417435037717,,0.0,,,,,0.0,84.21052631578972,5.080395948434626,12.0,8.0,8.028325958557673,7.651674041442326,7.84,0.45595195005788586,2.9792746113989743,2.9357564629556077
2007-05-11,7.78,7.96,8.1,7.71,11240709.0,88739010.0,66.60586715306282,,-92.94330797459811,,0.0,,,,,0.0,83.63636363636388,5.050395948434626,16.0,8.0,8.063390796058137,7.6766092039418625,7.87,0.4180048624906439,0.12578616352201255,0.1257071190051029
2007-05-14,7.86,8.33,8.49,7.76,16487247.0,136617285.0,84.73122878297829,,-84.54236932066043,,0.0,,,,,0.0,148.36223506743772,4.958395948434625,20.0,8.0,8.368625134491218,7.555374865508784,7.962000000000001,0.45283139219152163,4.648241206030157,4.543445632245957
2007-05-15,8.32,7.92,8.4,7.9,11156538.0,90812315.0,51.42350286552439,,-78.74384935338988,,0.032666666666665733,,,,,0.0,71.21212121212146,4.965395948434625,20.0,8.0,8.327513981840504,7.582486018159498,7.955000000000001,0.2593413037021878,-4.9219687875150075,-5.047225035241665
2007-05-16,7.82,8.04,8.09,7.54,11896814.0,93259644.0,56.77876487496281,,-72.76360722221274,,0.08700000000000152,,,,,0.0,-11.814345991560872,4.953253091291768,20.0,8.0,8.317116617092173,7.617169097193543,7.967142857142858,0.3323579076597381,1.5151515151515138,1.5037877364540098
2007-05-17,8.0,8.16,8.4,7.95,12876576.0,105840891.0,61.36560240787145,,-66.65609279924341,,0.10587499999999928,,,,,0.0,99.7229916897508,4.929145948434625,20.0,8.0,8.34259562755213,7.639904372447871,7.991250000000001,0.2829201747328868,1.4925373134328401,1.4815085785140791
2007-05-21,7.76,8.3,8.34,7.71,13395086.0,109352642.0,65.9109080308742,,-60.22326951985523,,0.1375555555555561,,,,,0.0,65.67481402763065,4.89484039287907,20.0,8.0,8.409466553471724,7.641644557639388,8.025555555555556,0.3502917301355456,1.71568627450982,1.701134582653685
2007-05-22,8.31,8.31,8.67,8.26,13732266.0,115840983.0,66.21664528874888,,-55.088537697030226,,0.1155000000000026,,,,,0.0,146.23267028330315,4.866395948434626,20.0,8.0,8.456213873455404,7.651786126544596,8.054,0.234363732484486,0.12048192771083599,0.1204094064804373
2007-05-23,8.35,8.63,8.73,8.34,17336837.0,148454919.0,74.1930092258297,,-47.403950459610755,,0.17109090909091051,,,,,0.0,158.18291215403133,4.814032312070989,44.0,8.0,8.613065824476159,7.5996614482511164,8.106363636363637,0.2639000746573798,3.8507821901323736,3.778489622798009
2007-05-24,8.64,8.37,8.64,8.16,14752748.0,123429385.0,61.489803138445225,,-42.513233361329526,,0.23333333333333428,,,,,0.0,91.28978224455625,-0.2783333333333342,44.0,8.0,8.634879371605166,7.621787295061501,8.128333333333334,0.22873337060153515,-3.0127462340672206,-3.059062059395279
2007-05-25,8.34,8.43,8.57,8.2,12512075.0,105075169.0,63.06158127511832,,-38.129218832257216,,0.2559230769230787,,,,,0.0,85.05025855557476,-0.4315384615384614,44.0,8.0,8.664079410977696,7.638997512099228,8.151538461538461,0.22976689841852657,0.7168458781362075,0.7142887512380014
2007-05-28,8.54,8.7,8.84,8.45,18806272.0,163281614.0,69.16128774800742,65.46159719515413,-32.08629049296562,,0.30828571428571294,,0.615625530955332,0.46512039424387663,,0.0,137.35247208931395,-0.24071428571428566,56.00000000000001,8.0,8.759696549345175,7.621732022083397,8.190714285714286,0.2348231924630215,3.2028469750889688,3.152625364677375
2007-05-29,8.7,8.8,8.93,8.58,15203337.0,133273520.0,71.06694934921958,68.31651553402199,-26.47903674882531,,0.34433333333333316,,1.1386430678466082,0.8451327433628323,,0.0,140.7924650860666,-0.27133333333333365,60.0,8.0,8.859467784616568,7.6031988820501,8.231333333333334,0.2364416185477101,1.1494252873563315,1.1428695823623158
2007-05-30,8.1,7.92,8.58,7.92,18112066.0,147648418.0,44.81962178295813,66.15126409389256,-26.63426161429617,,0.2626875000000002,,1.0404463040446306,0.8605299860529989,,0.0,-12.527604898614294,0.11812500000000092,60.0,8.0,8.83846173581556,7.585288264184438,8.211875,0.13812556189442896,-10.000000000000009,-10.536051565782634
2007-05-31,7.61,7.24,7.83,7.13,18427069.0,134955652.0,34.28289292754384,58.68841799172528,-29.83413818519005,,0.11458823529411788,,0.9198369565217394,0.9932065217391308,,1.0806301376590979,-173.26764658374992,-0.23470588235294088,60.0,68.0,8.915421262290376,7.393990502415505,8.15470588235294,0.07646647511546274,-8.585858585858585,-8.976999942870956
2007-06-01,7.28,6.52,7.51,6.52,19925447.0,137247606.0,27.035519974284554,51.97951215712342,-34.86135529464933,,-0.11272222222222084,,0.8278894472361811,1.0288944723618094,,2.292160782880301,-234.68043439558446,-0.023888888888890847,60.0,72.0,9.116212009711237,7.011565768066542,8.06388888888889,-0.004128747784382946,-9.944751381215477,-10.474683045906353
2007-06-04,6.58,5.87,6.8,5.86,15409963.0,93835425.0,22.42630982142154,45.2633274088552,-40.40841198967768,,-0.5015789473684213,,0.7454100367197064,1.162790697674419,,3.548337704787497,-269.46374339559816,0.21157894736842042,60.0,76.0,9.365835498695736,6.5310066065674235,7.94842105263158,-0.057472114658577704,-9.969325153374232,-10.501974209855636
2007-06-05,5.74,6.16,6.22,5.28,16595116.0,95849871.0,28.299615348146702,45.061657509692814,-42.18373432622502,,-0.9410000000000007,,0.6747967479674798,1.2113821138211385,,4.812789965737715,-242.05378973105093,0.4410000000000007,60.0,76.0,9.445290011315713,6.272709988684288,7.859,-0.005716466668013976,4.940374787052804,4.822214370542333
2007-06-06,6.11,6.21,6.33,5.92,13722585.0,84159794.0,29.293608755049632,50.276386079170884,-43.10977913580367,,-1.2543333333333342,,0.7874852420306966,1.1652892561983472,,5.9321067728199175,-164.8229529726726,0.5329999999999995,60.0,76.0,9.518621083933015,6.035378916066988,7.777000000000001,-0.0120105660507264,0.8116883116883189,0.8084118399958928
2007-06-07,6.19,6.43,6.46,6.13,14949750.0,94506685.0,33.652009422328874,49.96985196954429,-42.36804201826885,,-1.4051363636363652,,0.7604790419161677,1.1892215568862277,,6.937275712005833,-122.45199846158395,0.9174999999999995,60.0,76.0,9.550660765547999,5.874339234452003,7.712500000000001,0.00948148762079801,3.5426731078904927,3.4813642304140524
2007-06-11,6.63,6.5,6.7,6.38,14282163.0,93013237.0,35.024403384979024,55.998381942744444,-41.36635816808693,,-1.4335217391304358,,0.8121890547263682,1.1592039800995027,,7.865322676602992,-91.15020955234755,0.7299999999999969,60.0,76.0,9.54802515706686,5.731974842933145,7.640000000000002,-0.018999973008731925,1.0886469673405896,1.0827638652063376
