,open,close,high,low,volume,money,RSI,MFI,TSI,UO,AO,MACDDI,VIP,VIN,TRIX,MI,CCI,DPO,ARU,ARD,BBH,BBL,BBM,CMF,DR,DLR
2007-05-08,28.18,27.32,28.26,27.02,31833697.0,870776142.0,100.0,,,,0.0,,,,,0.0,,-3.699147727272784,4.0,4.0,27.32,27.32,27.32,-0.5161290322580642,15.660517599290191,
2007-05-09,26.81,27.32,27.77,26.19,26898893.0,727121809.0,100.0,,,,0.0,,,,,0.0,-66.66666666666667,-3.699147727272784,4.0,4.0,27.32,27.32,27.32,-0.08263821613030793,0.0,0.0
2007-05-10,27.33,26.8,27.43,26.73,20651719.0,557976168.0,0.0,,-100.0,,0.0,,,,,0.0,-66.21621621621686,-3.5258143939394486,4.0,12.0,27.63692736828934,26.65640596504399,27.146666666666665,-0.26925889934133884,-1.9033674963396807,-1.921714718577805
2007-05-11,26.4,26.11,26.56,25.42,38634014.0,1003287173.0,0.0,,-100.0,,0.0,,,,,0.0,-133.33333333333334,-3.266647727272783,4.0,16.0,27.880613790056305,25.894386209943693,26.8875,-0.1121982985195767,-2.5746268656716476,-2.6083504805773483
2007-05-14,25.69,26.61,27.72,24.94,41316597.0,1104697676.0,31.464714570089242,,-66.27202643171807,,0.0,,,,,0.0,-55.397727272727415,-3.2111477272727846,4.0,16.0,27.747589427636647,25.916410572363354,26.832,-0.030870114936051945,1.9149751053236352,1.896870227856029
2007-05-15,26.77,25.58,26.81,25.54,26831841.0,698693032.0,18.53010050470523,,-64.60656798298906,,-0.1531666666666638,,,,,0.0,-87.6090750436301,-3.0024810606061187,4.0,24.0,27.87609916229828,25.37056750436839,26.623333333333335,-0.16146992848559716,-3.8707252912438928,-3.947628883890131
2007-05-16,25.56,25.91,26.18,25.23,23778398.0,610776702.0,28.650180714190995,,-56.21444286489986,,-0.3132857142857226,,,,,0.0,-91.07472509832272,-2.900576298701356,4.0,24.0,27.784143495547173,25.25871364730997,26.521428571428572,-0.09430118655947614,1.290070367474594,1.2818198423321991
2007-05-17,25.91,26.13,26.51,25.77,20286866.0,528182974.0,34.49232630181059,,-48.327562194136206,,-0.4017500000000105,,,,,0.0,-44.739929605005635,-2.851647727272784,4.0,24.0,27.68170428381643,25.26329571618357,26.4725,-0.08837333243189623,0.8490930142802,0.8455084958502557
2007-05-18,25.98,25.86,26.12,25.36,26889330.0,695617734.0,31.12409437421151,,-45.41527485048246,,-0.3792222222222321,,,,,0.0,-80.1059355039724,-2.7835921717172276,4.0,24.0,27.607740329775364,25.201148559113523,26.404444444444444,-0.046106648408774376,-1.0332950631458115,-1.0386706188809658
2007-05-21,25.32,26.38,26.85,25.27,40629728.0,1073946037.0,42.72448842854489,,-37.23198352107981,,-0.4785000000000075,,,,,0.0,-30.058322117540982,-2.7811477272727814,4.0,24.0,27.543640924283988,25.260359075716007,26.401999999999997,0.015457903232544734,2.010827532869297,1.9908773945457092
2007-05-22,26.4,26.6,27.29,26.38,29921427.0,802527503.0,46.80644566550148,,-29.893597758328983,,-0.3497272727272822,,,,,0.0,45.6621004566218,-2.7991477272727856,4.0,24.0,27.514448802739622,25.32555119726038,26.42,-0.03311634658264522,0.833965125094771,0.8305068498485113
2007-05-23,26.66,26.69,27.02,26.44,18360574.0,492199733.0,48.42578047004372,,-24.229230029926775,,-0.19791666666667496,,,,,0.0,37.76824034334802,0.8775000000000013,4.0,24.0,27.50093044173909,25.384069558260908,26.4425,-0.03867783166156007,0.33834586466165995,0.3377747628779293
2007-05-24,26.6,25.95,27.02,25.52,27473629.0,719624114.0,38.143823952207065,,-24.08565863771602,,-0.1450769230769282,,,,,0.0,-38.47510043642921,0.9153846153846175,4.0,24.0,27.454849508978295,25.35438126025247,26.404615384615383,-0.06721670643426736,-2.7725739977519703,-2.8117353804535394
2007-05-25,25.76,25.74,26.25,25.61,20630046.0,534340450.0,35.81952887806676,36.60113240766116,-24.95331751354572,,-0.09207142857143324,,0.702327601131869,0.8561803046515102,,0.0,-75.86463923673273,0.44285714285714306,4.0,24.0,27.42550418102507,25.288781533260646,26.357142857142858,-0.09477669879415948,-0.8092485549133,-0.8125407443916988
